date_string,cb_to_usd,et_to_usd
"2019 Aug 25, Sunday",10148.5,186.7
"2019 Aug 26, Monday",10373.75,188.26
"2019 Aug 27, Tuesday",10170.16,187.0
"2019 Aug 28, Wednesday",9710.38,172.66
"2019 Aug 29, Thursday",9525.0,169.64
"2019 Aug 30, Friday",9580.6,168.37
"2019 Aug 31, Saturday",9593.95,171.78
"2019 Sep 01, Sunday",9769.64,171.66
"2019 Sep 02, Monday",10405.05,178.99
"2019 Sep 03, Tuesday",10628.46,178.76
"2019 Sep 04, Wednesday",10585.67,174.84
"2019 Sep 05, Thursday",10574.27,174.0
"2019 Sep 06, Friday",10318.8,169.49
"2019 Sep 07, Saturday",10484.87,178.26
"2019 Sep 08, Sunday",10395.17,181.32
"2019 Sep 09, Monday",10310.01,180.72
"2019 Sep 10, Tuesday",10090.01,179.58
"2019 Sep 11, Wednesday",10169.49,178.31
"2019 Sep 12, Thursday",10437.19,181.17
"2019 Sep 13, Friday",10381.91,181.91
"2019 Sep 14, Saturday",10360.2,189.0
"2019 Sep 15, Sunday",10306.65,189.66
"2019 Sep 16, Monday",10268.77,197.94
"2019 Sep 17, Tuesday",10185.14,208.11
"2019 Sep 18, Wednesday",10155.26,210.25
"2019 Sep 19, Thursday",10304.94,221.69
"2019 Sep 20, Friday",10168.44,218.11
"2019 Sep 21, Saturday",9982.39,215.26
"2019 Sep 22, Sunday",10035.0,211.1
"2019 Sep 23, Monday",9683.89,200.77
"2019 Sep 24, Tuesday",8556.43,167.07
"2019 Sep 25, Wednesday",8446.57,170.28
"2019 Sep 26, Thursday",8063.0,165.86
"2019 Sep 27, Friday",8193.98,174.29
"2019 Sep 28, Saturday",8228.22,174.03
"2019 Sep 29, Sunday",8063.06,170.16
"2019 Sep 30, Monday",8305.14,181.6
"2019 Oct 01, Tuesday",8323.43,176.25
"2019 Oct 02, Wednesday",8396.0,181.21
"2019 Oct 03, Thursday",8241.25,175.17
"2019 Oct 04, Friday",8159.71,175.82
"2019 Oct 05, Saturday",8152.99,176.73
"2019 Oct 06, Sunday",7862.67,170.18
"2019 Oct 07, Monday",8224.82,180.65
"2019 Oct 08, Tuesday",8186.73,180.95
"2019 Oct 09, Wednesday",8600.0,193.41
"2019 Oct 10, Thursday",8589.01,192.04
"2019 Oct 11, Friday",8263.64,180.85
"2019 Oct 12, Saturday",8304.1,179.61
"2019 Oct 13, Sunday",8280.01,181.01
"2019 Oct 14, Monday",8363.0,187.11
"2019 Oct 15, Tuesday",8156.52,180.49
"2019 Oct 16, Wednesday",7993.0,174.5
"2019 Oct 17, Thursday",8077.0,177.38
"2019 Oct 18, Friday",7954.16,173.27
"2019 Oct 19, Saturday",7965.27,172.07
"2019 Oct 20, Sunday",8235.44,175.42
"2019 Oct 21, Monday",8214.58,174.34
"2019 Oct 22, Tuesday",8008.04,171.08
"2019 Oct 23, Wednesday",7473.42,162.35
"2019 Oct 24, Thursday",7439.29,160.68
"2019 Oct 25, Friday",8704.85,182.27
"2019 Oct 26, Saturday",9281.27,180.67
"2019 Oct 27, Sunday",9570.58,184.26
"2019 Oct 28, Monday",9221.96,181.87
"2019 Oct 29, Tuesday",9431.27,190.93
"2019 Oct 30, Wednesday",9175.77,183.63
"2019 Oct 31, Thursday",9146.75,182.06
"2019 Nov 01, Friday",9268.0,183.55
"2019 Nov 02, Saturday",9320.0,183.45
"2019 Nov 03, Sunday",9215.01,181.82
"2019 Nov 04, Monday",9414.0,186.12
"2019 Nov 05, Tuesday",9314.99,188.7
"2019 Nov 06, Wednesday",9343.11,191.41
"2019 Nov 07, Thursday",9196.71,186.53
"2019 Nov 08, Friday",8758.69,183.44
"2019 Nov 09, Saturday",8798.38,184.77
"2019 Nov 10, Sunday",9036.82,189.0
"2019 Nov 11, Monday",8720.61,184.63
"2019 Nov 12, Tuesday",8823.65,186.99
"2019 Nov 13, Wednesday",8765.61,188.0
"2019 Nov 14, Thursday",8630.01,184.69
"2019 Nov 15, Friday",8460.0,180.03
"2019 Nov 16, Saturday",8488.0,182.22
"2019 Nov 17, Sunday",8500.01,183.85
"2019 Nov 18, Monday",8160.73,177.65
"2019 Nov 19, Tuesday",8123.36,175.62
"2019 Nov 20, Wednesday",8082.96,174.25
"2019 Nov 21, Thursday",7618.76,160.84
"2019 Nov 22, Friday",7296.45,150.32
"2019 Nov 23, Saturday",7338.92,152.32
"2019 Nov 24, Sunday",6906.25,140.37
"2019 Nov 25, Monday",7125.0,146.12
"2019 Nov 26, Tuesday",7155.0,147.57
"2019 Nov 27, Wednesday",7539.4,153.42
"2019 Nov 28, Thursday",7413.05,150.5
"2019 Nov 29, Friday",7751.29,154.62
"2019 Nov 30, Saturday",7551.7,151.5
"2019 Dec 01, Sunday",7413.84,151.39
"2019 Dec 02, Monday",7315.09,149.09
"2019 Dec 03, Tuesday",7296.0,147.3
"2019 Dec 04, Wednesday",7185.57,145.43
"2019 Dec 05, Thursday",7388.75,148.2
"2019 Dec 06, Friday",7560.76,149.0
"2019 Dec 07, Saturday",7502.2,147.37
"2019 Dec 08, Sunday",7520.0,150.71
"2019 Dec 09, Monday",7332.69,147.34
"2019 Dec 10, Tuesday",7215.69,145.55
"2019 Dec 11, Wednesday",7275.17,143.93
"2019 Dec 12, Thursday",7194.19,144.82
"2019 Dec 13, Friday",7249.25,144.69
"2019 Dec 14, Saturday",7059.55,141.8
"2019 Dec 15, Sunday",7111.0,142.4
"2019 Dec 16, Monday",6877.04,132.39
"2019 Dec 17, Tuesday",6618.62,121.91
"2019 Dec 18, Wednesday",7309.12,133.49
"2019 Dec 19, Thursday",7153.99,128.48
"2019 Dec 20, Friday",7189.87,128.37
"2019 Dec 21, Saturday",7143.01,127.16
"2019 Dec 22, Sunday",7550.0,132.76
"2019 Dec 23, Monday",7318.18,127.91
"2019 Dec 24, Tuesday",7259.87,127.64
"2019 Dec 25, Wednesday",7194.76,125.0
"2019 Dec 26, Thursday",7195.0,125.38
"2019 Dec 27, Friday",7247.35,126.11
"2019 Dec 28, Saturday",7303.7,127.84
"2019 Dec 29, Sunday",7378.53,134.22
"2019 Dec 30, Monday",7191.0,130.78
"2019 Dec 31, Tuesday",7158.01,128.41
"2020 Jan 01, Wednesday",7174.32,130.05
"2020 Jan 02, Thursday",6945.01,126.8
"2020 Jan 03, Friday",7335.54,134.2
"2020 Jan 04, Saturday",7353.5,134.35
"2020 Jan 05, Sunday",7348.69,135.23
"2020 Jan 06, Monday",7773.48,144.28
"2020 Jan 07, Tuesday",8169.95,143.13
"2020 Jan 08, Wednesday",8035.08,140.54
"2020 Jan 09, Thursday",7813.78,137.74
"2020 Jan 10, Friday",8183.89,144.5
"2020 Jan 11, Saturday",8002.89,142.29
"2020 Jan 12, Sunday",8192.66,146.85
"2020 Jan 13, Monday",8109.62,143.51
"2020 Jan 14, Tuesday",8757.18,163.66
"2020 Jan 15, Wednesday",8831.86,166.56
"2020 Jan 16, Thursday",8727.22,164.59
"2020 Jan 17, Friday",8875.81,169.28
"2020 Jan 18, Saturday",8901.0,173.9
"2020 Jan 19, Sunday",8710.41,167.06
"2020 Jan 20, Monday",8633.67,166.6
"2020 Jan 21, Tuesday",8730.0,169.59
"2020 Jan 22, Wednesday",8665.0,167.71
"2020 Jan 23, Thursday",8386.63,162.6
"2020 Jan 24, Friday",8424.96,162.35
"2020 Jan 25, Saturday",8304.04,159.18
"2020 Jan 26, Sunday",8632.92,167.96
"2020 Jan 27, Monday",8903.24,169.9
"2020 Jan 28, Tuesday",9417.64,176.23
"2020 Jan 29, Wednesday",9270.0,172.7
"2020 Jan 30, Thursday",9493.61,184.73
"2020 Jan 31, Friday",9343.28,179.62
"2020 Feb 01, Saturday",9375.06,183.5
"2020 Feb 02, Sunday",9314.06,188.1
"2020 Feb 03, Monday",9282.29,189.4
"2020 Feb 04, Tuesday",9158.57,188.19
"2020 Feb 05, Wednesday",9623.44,204.04
"2020 Feb 06, Thursday",9765.96,213.11
"2020 Feb 07, Friday",9804.98,223.22
"2020 Feb 08, Saturday",9911.13,223.36
"2020 Feb 09, Sunday",10174.81,228.91
"2020 Feb 10, Monday",9854.5,223.1
"2020 Feb 11, Tuesday",10279.99,238.39
"2020 Feb 12, Wednesday",10344.01,265.92
"2020 Feb 13, Thursday",10239.57,268.89
"2020 Feb 14, Friday",10380.0,286.8
"2020 Feb 15, Saturday",9901.34,264.59
"2020 Feb 16, Sunday",9915.04,259.56
"2020 Feb 17, Monday",9711.95,268.3
"2020 Feb 18, Tuesday",10191.51,282.98
"2020 Feb 19, Wednesday",9591.54,257.27
"2020 Feb 20, Thursday",9610.05,257.37
"2020 Feb 21, Friday",9697.01,265.41
"2020 Feb 22, Saturday",9668.26,262.13
"2020 Feb 23, Sunday",9964.16,275.34
"2020 Feb 24, Monday",9668.08,265.99
"2020 Feb 25, Tuesday",9301.01,245.2
"2020 Feb 26, Wednesday",8776.01,222.53
"2020 Feb 27, Thursday",8816.71,228.18
"2020 Feb 28, Friday",8713.16,227.64
"2020 Feb 29, Saturday",8552.08,218.57
"2020 Mar 01, Sunday",8490.3,216.7
"2020 Mar 02, Monday",8923.52,231.89
"2020 Mar 03, Tuesday",8769.67,223.77
"2020 Mar 04, Wednesday",8765.0,224.9
"2020 Mar 05, Thursday",9053.56,228.21
"2020 Mar 06, Friday",9162.98,246.5
"2020 Mar 07, Saturday",8885.68,236.61
"2020 Mar 08, Sunday",8068.0,202.43
"2020 Mar 09, Monday",7945.03,203.59
"2020 Mar 10, Tuesday",7887.01,200.65
"2020 Mar 11, Wednesday",7957.02,195.13
"2020 Mar 12, Thursday",4980.0,111.04
"2020 Mar 13, Friday",5592.77,134.69
"2020 Mar 14, Saturday",5182.62,122.56
"2020 Mar 15, Sunday",5327.12,123.02
"2020 Mar 16, Monday",5074.2,111.97
"2020 Mar 17, Tuesday",5361.77,116.59
"2020 Mar 18, Wednesday",5426.71,119.15
"2020 Mar 19, Thursday",6219.99,137.43
"2020 Mar 20, Friday",6215.4,133.51
"2020 Mar 21, Saturday",6168.72,132.1
"2020 Mar 22, Sunday",5791.69,121.85
"2020 Mar 23, Monday",6583.38,137.28
"2020 Mar 24, Tuesday",6742.21,138.68
"2020 Mar 25, Wednesday",6752.83,137.1
"2020 Mar 26, Thursday",6772.2,139.24
"2020 Mar 27, Friday",6320.46,130.07
"2020 Mar 28, Saturday",6269.81,131.86
"2020 Mar 29, Sunday",5897.55,124.83
"2020 Mar 30, Monday",6401.26,132.15
"2020 Mar 31, Tuesday",6434.73,133.29
"2020 Apr 01, Wednesday",6719.39,137.66
"2020 Apr 02, Thursday",6789.84,141.07
"2020 Apr 03, Friday",6727.99,141.15
"2020 Apr 04, Saturday",6896.6,145.0
"2020 Apr 05, Sunday",6779.75,142.89
"2020 Apr 06, Monday",7320.07,171.01
"2020 Apr 07, Tuesday",7204.58,164.64
"2020 Apr 08, Wednesday",7343.65,172.75
"2020 Apr 09, Thursday",7294.69,169.8
"2020 Apr 10, Friday",6892.54,158.91
"2020 Apr 11, Saturday",6891.43,158.69
"2020 Apr 12, Sunday",6860.97,157.75
"2020 Apr 13, Monday",6871.0,157.36
"2020 Apr 14, Tuesday",6865.72,157.95
"2020 Apr 15, Wednesday",6576.76,151.38
"2020 Apr 16, Thursday",7123.29,172.87
"2020 Apr 17, Friday",7055.22,171.85
"2020 Apr 18, Saturday",7271.53,188.62
"2020 Apr 19, Sunday",7125.31,180.1
"2020 Apr 20, Monday",6832.57,170.16
"2020 Apr 21, Tuesday",6845.0,170.63
"2020 Apr 22, Wednesday",7143.99,183.3
"2020 Apr 23, Thursday",7479.06,185.31
"2020 Apr 24, Friday",7514.64,187.55
"2020 Apr 25, Saturday",7535.69,194.14
"2020 Apr 26, Sunday",7765.79,198.63
"2020 Apr 27, Monday",7773.0,196.59
"2020 Apr 28, Tuesday",7774.39,197.49
"2020 Apr 29, Wednesday",8789.1,215.27
"2020 Apr 30, Thursday",8652.3,206.88
"2020 May 01, Friday",8813.9,211.39
"2020 May 02, Saturday",8992.0,214.23
"2020 May 03, Sunday",8917.63,210.13
"2020 May 04, Monday",8900.29,207.22
"2020 May 05, Tuesday",9037.69,205.79
"2020 May 06, Wednesday",9132.24,198.29
"2020 May 07, Thursday",10007.56,212.69
"2020 May 08, Friday",9790.23,211.65
"2020 May 09, Saturday",9554.91,209.95
"2020 May 10, Sunday",8773.89,188.62
"2020 May 11, Monday",8557.37,185.79
"2020 May 12, Tuesday",8809.14,189.56
"2020 May 13, Wednesday",9335.84,200.16
"2020 May 14, Thursday",9815.22,203.86
"2020 May 15, Friday",9331.18,194.72
"2020 May 16, Saturday",9353.26,199.92
"2020 May 17, Sunday",9700.33,207.26
"2020 May 18, Monday",9733.21,214.89
"2020 May 19, Tuesday",9783.91,214.41
"2020 May 20, Wednesday",9497.76,209.71
"2020 May 21, Thursday",9039.12,198.1
"2020 May 22, Friday",9173.23,207.59
"2020 May 23, Saturday",9166.02,206.38
"2020 May 24, Sunday",8673.64,199.31
"2020 May 25, Monday",8892.39,203.97
"2020 May 26, Tuesday",8836.77,201.04
"2020 May 27, Wednesday",9200.0,208.16
"2020 May 28, Thursday",9593.72,221.45
"2020 May 29, Friday",9426.87,220.98
"2020 May 30, Saturday",9684.6,243.41
"2020 May 31, Sunday",9435.8,230.76
"2020 Jun 01, Monday",10212.38,248.68
"2020 Jun 02, Tuesday",9509.35,237.36
"2020 Jun 03, Wednesday",9672.67,244.76
"2020 Jun 04, Thursday",9799.57,243.23
"2020 Jun 05, Friday",9568.95,239.09
"2020 Jun 06, Saturday",9665.36,241.82
"2020 Jun 07, Sunday",9764.0,245.18
"2020 Jun 08, Monday",9833.94,247.76
"2020 Jun 09, Tuesday",9778.6,244.13
"2020 Jun 10, Wednesday",9899.18,248.41
"2020 Jun 11, Thursday",9258.7,229.65
"2020 Jun 12, Friday",9466.77,237.75
"2020 Jun 13, Saturday",9477.17,238.07
"2020 Jun 14, Sunday",9315.71,231.0
"2020 Jun 15, Monday",9437.23,231.05
"2020 Jun 16, Tuesday",9534.8,235.54
"2020 Jun 17, Wednesday",9460.53,233.64
"2020 Jun 18, Thursday",9368.15,230.85
"2020 Jun 19, Friday",9285.54,228.49
"2020 Jun 20, Saturday",9361.81,228.91
"2020 Jun 21, Sunday",9279.68,227.54
"2020 Jun 22, Monday",9700.91,243.67
"2020 Jun 23, Tuesday",9623.74,243.3
"2020 Jun 24, Wednesday",9284.1,234.58
"2020 Jun 25, Thursday",9232.84,232.01
"2020 Jun 26, Friday",9157.22,229.53
"2020 Jun 27, Saturday",9001.24,220.34
"2020 Jun 28, Sunday",9122.56,225.05
"2020 Jun 29, Monday",9191.05,228.28
"2020 Jun 30, Tuesday",9129.47,225.24
"2020 Jul 01, Wednesday",9239.09,231.13
"2020 Jul 02, Thursday",9088.54,226.39
"2020 Jul 03, Friday",9050.05,224.81
"2020 Jul 04, Saturday",9138.22,229.31
"2020 Jul 05, Sunday",9088.52,228.12
"2020 Jul 06, Monday",9331.69,241.49
"2020 Jul 07, Tuesday",9263.56,239.68
"2020 Jul 08, Wednesday",9436.01,246.89
"2020 Jul 09, Thursday",9230.48,242.09
"2020 Jul 10, Friday",9298.16,241.42
"2020 Jul 11, Saturday",9235.0,239.4
"2020 Jul 12, Sunday",9313.77,243.2
"2020 Jul 13, Monday",9230.14,239.21
"2020 Jul 14, Tuesday",9258.34,240.44
"2020 Jul 15, Wednesday",9194.51,238.36
"2020 Jul 16, Thursday",9130.91,233.54
"2020 Jul 17, Friday",9147.65,232.59
"2020 Jul 18, Saturday",9174.6,235.66
"2020 Jul 19, Sunday",9221.71,239.66
"2020 Jul 20, Monday",9161.13,235.98
"2020 Jul 21, Tuesday",9396.65,245.76
"2020 Jul 22, Wednesday",9546.31,264.6
"2020 Jul 23, Thursday",9612.05,275.25
"2020 Jul 24, Friday",9553.41,280.07
"2020 Jul 25, Saturday",9709.02,305.2
"2020 Jul 26, Sunday",9944.58,311.8
"2020 Jul 27, Monday",11108.44,323.98
"2020 Jul 28, Tuesday",10952.85,318.44
"2020 Jul 29, Wednesday",11100.39,317.82
"2020 Jul 30, Thursday",11139.67,336.57
"2020 Jul 31, Friday",11372.76,347.25
"2020 Aug 01, Saturday",11805.82,387.63
"2020 Aug 02, Sunday",11050.03,372.29
"2020 Aug 03, Monday",11235.44,386.68
"2020 Aug 04, Tuesday",11198.04,390.23
"2020 Aug 05, Wednesday",11737.59,400.55
"2020 Aug 06, Thursday",11766.62,394.95
"2020 Aug 07, Friday",11598.96,379.12
"2020 Aug 08, Saturday",11780.14,400.0
"2020 Aug 09, Sunday",11692.76,391.08
"2020 Aug 10, Monday",11896.19,396.0
"2020 Aug 11, Tuesday",11387.01,378.45
"2020 Aug 12, Wednesday",11563.16,386.66
"2020 Aug 13, Thursday",11824.99,426.65
"2020 Aug 14, Friday",11785.29,439.26
"2020 Aug 15, Saturday",11854.27,432.78
"2020 Aug 16, Sunday",11924.0,434.53
"2020 Aug 17, Monday",12325.1,431.42
"2020 Aug 18, Tuesday",11983.52,423.95
"2020 Aug 19, Wednesday",11764.8,408.66
"2020 Aug 20, Thursday",11856.24,416.19
"2020 Aug 21, Friday",11526.32,387.76
"2020 Aug 22, Saturday",11675.78,395.9
"2020 Aug 23, Sunday",11650.03,390.8
"2020 Aug 24, Monday",11762.34,408.47
"2020 Aug 25, Tuesday",11324.86,382.77
"2020 Aug 26, Wednesday",11460.01,386.34
"2020 Aug 27, Thursday",11341.73,383.56
"2020 Aug 28, Friday",11540.0,395.57
"2020 Aug 29, Saturday",11468.56,398.52
"2020 Aug 30, Sunday",11724.99,429.37
"2020 Aug 31, Monday",11665.93,434.79
"2020 Sep 01, Tuesday",11911.74,476.15
"2020 Sep 02, Wednesday",11390.12,439.59
"2020 Sep 03, Thursday",10225.82,383.38
"2020 Sep 04, Friday",,
"2020 Sep 05, Saturday",10152.97,334.1
"2020 Sep 06, Sunday",10255.2,352.61
"2020 Sep 07, Monday",10389.85,354.63
"2020 Sep 08, Tuesday",10123.21,336.67
"2020 Sep 09, Wednesday",10235.0,351.45
"2020 Sep 10, Thursday",10345.95,368.4
"2020 Sep 11, Friday",10399.99,374.02
"2020 Sep 12, Saturday",10444.01,387.49
"2020 Sep 13, Sunday",10336.28,366.15
"2020 Sep 14, Monday",10679.33,377.3
"2020 Sep 15, Tuesday",10789.8,364.62
"2020 Sep 16, Wednesday",10953.38,364.78
"2020 Sep 17, Thursday",10947.83,389.18
"2020 Sep 18, Friday",10942.2,384.43
"2020 Sep 19, Saturday",11075.33,385.11
"2020 Sep 20, Sunday",10911.59,370.37
"2020 Sep 21, Monday",10425.85,340.8
"2020 Sep 22, Tuesday",10529.01,343.96
"2020 Sep 23, Wednesday",10230.11,320.03
"2020 Sep 24, Thursday",10741.0,349.09
"2020 Sep 25, Friday",10693.3,352.53
"2020 Sep 26, Saturday",10730.23,354.44
"2020 Sep 27, Sunday",10792.18,358.1
"2020 Sep 28, Monday",10681.01,352.77
"2020 Sep 29, Tuesday",10845.9,360.03
"2020 Sep 30, Wednesday",10783.24,360.51
"2020 Oct 01, Thursday",10598.64,351.72
"2020 Oct 02, Friday",10577.92,345.78
"2020 Oct 03, Saturday",10545.21,345.8
"2020 Oct 04, Sunday",10662.36,352.37
"2020 Oct 05, Monday",10800.0,355.08
"2020 Oct 06, Tuesday",10594.15,340.58
"2020 Oct 07, Wednesday",10671.23,342.15
"2020 Oct 08, Thursday",10926.71,350.49
"2020 Oct 09, Friday",11059.3,365.23
"2020 Oct 10, Saturday",11303.56,370.87
"2020 Oct 11, Sunday",11370.45,373.92
"2020 Oct 12, Monday",11534.83,387.1
"2020 Oct 13, Tuesday",11434.36,381.34
"2020 Oct 14, Wednesday",11426.87,378.99
"2020 Oct 15, Thursday",11509.25,377.94
"2020 Oct 16, Friday",11329.33,365.74
"2020 Oct 17, Saturday",11365.96,368.15
"2020 Oct 18, Sunday",11516.56,378.43
"2020 Oct 19, Monday",11765.09,379.65
"2020 Oct 20, Tuesday",11917.34,368.81
"2020 Oct 21, Wednesday",12836.37,392.21
"2020 Oct 22, Thursday",12977.02,414.34
"2020 Oct 23, Friday",12943.03,409.85
"2020 Oct 24, Saturday",13120.87,412.18
"2020 Oct 25, Sunday",13050.32,406.59
"2020 Oct 26, Monday",13072.95,393.6
"2020 Oct 27, Tuesday",13698.18,404.55
"2020 Oct 28, Wednesday",13280.0,388.83
"2020 Oct 29, Thursday",13460.0,387.63
"2020 Oct 30, Friday",13582.97,382.66
"2020 Oct 31, Saturday",13745.02,385.74
"2020 Nov 01, Sunday",13784.52,397.32
"2020 Nov 02, Monday",13573.93,383.22
"2020 Nov 03, Tuesday",14050.59,388.63
"2020 Nov 04, Wednesday",14160.0,403.99
"2020 Nov 05, Thursday",15636.6,418.16
"2020 Nov 06, Friday",15596.33,456.15
"2020 Nov 07, Saturday",14814.62,435.0
"2020 Nov 08, Sunday",15487.88,454.61
"2020 Nov 09, Monday",15334.37,444.07
"2020 Nov 10, Tuesday",15325.25,451.22
"2020 Nov 11, Wednesday",15723.81,464.14
"2020 Nov 12, Thursday",16319.72,463.22
"2020 Nov 13, Friday",16339.59,478.0
"2020 Nov 14, Saturday",16093.3,460.87
"2020 Nov 15, Sunday",15946.64,447.73
"2020 Nov 16, Monday",16714.58,460.51
"2020 Nov 17, Tuesday",17660.9,482.53
"2020 Nov 18, Wednesday",17802.82,480.45
"2020 Nov 19, Thursday",17804.44,471.97
"2020 Nov 20, Friday",18702.87,510.7
"2020 Nov 21, Saturday",18710.14,553.53
"2020 Nov 22, Sunday",18477.48,563.56
"2020 Nov 23, Monday",18391.21,609.76
"2020 Nov 24, Tuesday",19185.07,605.66
"2020 Nov 25, Wednesday",18706.15,567.07
"2020 Nov 26, Thursday",17173.0,520.91
"2020 Nov 27, Friday",17156.99,519.86
"2020 Nov 28, Saturday",17718.3,537.74
"2020 Nov 29, Sunday",18238.52,579.64
"2020 Nov 30, Monday",19727.0,616.36
"2020 Dec 01, Tuesday",18763.35,585.07
"2020 Dec 02, Wednesday",19245.61,597.47
"2020 Dec 03, Thursday",19430.07,615.29
"2020 Dec 04, Friday",18692.32,568.64
"2020 Dec 05, Saturday",19156.82,598.96
"2020 Dec 06, Sunday",19397.08,602.58
"2020 Dec 07, Monday",19202.88,590.92
"2020 Dec 08, Tuesday",18311.76,554.79
"2020 Dec 09, Wednesday",18550.01,574.49
"2020 Dec 10, Thursday",18286.8,559.93
"2020 Dec 11, Friday",18048.14,544.55
"2020 Dec 12, Saturday",18826.36,568.5
"2020 Dec 13, Sunday",19133.04,589.53
"2020 Dec 14, Monday",19288.43,586.83
"2020 Dec 15, Tuesday",19451.34,589.23
"2020 Dec 16, Wednesday",21384.63,638.58
"2020 Dec 17, Thursday",22830.34,643.96
"2020 Dec 18, Friday",23169.26,655.27
"2020 Dec 19, Saturday",23814.91,658.35
"2020 Dec 20, Sunday",23451.68,637.29
"2020 Dec 21, Monday",22777.26,609.17
"2020 Dec 22, Tuesday",23839.99,638.18
"2020 Dec 23, Wednesday",23196.57,583.42
"2020 Dec 24, Thursday",23740.01,613.16
"2020 Dec 25, Friday",24736.42,627.64
"2020 Dec 26, Saturday",26519.1,638.39
"2020 Dec 27, Sunday",26320.06,688.68
"2020 Dec 28, Monday",27044.14,731.48
"2020 Dec 29, Tuesday",27407.85,734.81
"2020 Dec 30, Wednesday",28934.56,754.45
"2020 Dec 31, Thursday",29026.97,738.9
"2021 Jan 01, Friday",29391.09,731.0
"2021 Jan 02, Saturday",32244.73,775.62
"2021 Jan 03, Sunday",33134.1,986.49
"2021 Jan 04, Monday",32127.31,1050.0
"2021 Jan 05, Tuesday",34131.23,1111.0
"2021 Jan 06, Wednesday",36979.81,1219.0
"2021 Jan 07, Thursday",39573.39,1231.4
"2021 Jan 08, Friday",40666.72,1223.44
"2021 Jan 09, Saturday",40346.3,1287.91
"2021 Jan 10, Sunday",38242.02,1258.38
"2021 Jan 11, Monday",35474.31,1089.91
"2021 Jan 12, Tuesday",33968.43,1045.38
"2021 Jan 13, Wednesday",37520.66,1134.36
"2021 Jan 14, Thursday",39171.12,1235.68
"2021 Jan 15, Friday",36868.39,1173.82
"2021 Jan 16, Saturday",35869.47,1224.78
"2021 Jan 17, Sunday",35931.15,1236.89
"2021 Jan 18, Monday",36765.97,1266.85
"2021 Jan 19, Tuesday",35673.03,1358.33
"2021 Jan 20, Wednesday",35570.44,1383.19
"2021 Jan 21, Thursday",30647.26,1110.0
"2021 Jan 22, Friday",32885.51,1228.87
"2021 Jan 23, Saturday",32021.33,1233.49
"2021 Jan 24, Sunday",32250.01,1391.26
"2021 Jan 25, Monday",31979.0,1310.0
"2021 Jan 26, Tuesday",32579.82,1373.71
"2021 Jan 27, Wednesday",30552.06,1246.09
"2021 Jan 28, Thursday",33484.8,1332.34
"2021 Jan 29, Friday",34330.14,1383.59
"2021 Jan 30, Saturday",34229.25,1378.09
"2021 Jan 31, Sunday",33076.09,1309.43
"2021 Feb 01, Monday",33457.6,1376.22
"2021 Feb 02, Tuesday",35511.07,1517.58
"2021 Feb 03, Wednesday",37769.41,1673.0
"2021 Feb 04, Thursday",37070.87,1606.46
"2021 Feb 05, Friday",38376.86,1724.16
"2021 Feb 06, Saturday",38995.52,1678.22
"2021 Feb 07, Sunday",38888.74,1614.32
"2021 Feb 08, Monday",46674.44,1758.15
"2021 Feb 09, Tuesday",46595.44,1777.0
"2021 Feb 10, Wednesday",44887.29,1744.45
"2021 Feb 11, Thursday",48121.0,1791.03
"2021 Feb 12, Friday",47524.18,1851.51
"2021 Feb 13, Saturday",47274.23,1818.98
"2021 Feb 14, Sunday",48703.26,1804.5
"2021 Feb 15, Monday",47911.87,1783.72
"2021 Feb 16, Tuesday",49257.23,1785.58
"2021 Feb 17, Wednesday",52269.84,1854.43
"2021 Feb 18, Thursday",51644.16,1942.91
"2021 Feb 19, Friday",56029.51,1960.51
"2021 Feb 20, Saturday",55960.05,1914.61
"2021 Feb 21, Sunday",57538.47,1937.39
"2021 Feb 22, Monday",54130.33,1779.68
"2021 Feb 23, Tuesday",48972.11,1580.08
"2021 Feb 24, Wednesday",49789.99,1629.92
"2021 Feb 25, Thursday",46927.73,1483.45
"2021 Feb 26, Friday",46360.17,1446.19
"2021 Feb 27, Saturday",45973.56,1452.67
"2021 Feb 28, Sunday",45352.29,1427.57
"2021 Mar 01, Monday",49652.19,1572.9
"2021 Mar 02, Tuesday",48368.22,1485.04
"2021 Mar 03, Wednesday",50164.67,1563.62
"2021 Mar 04, Thursday",48327.39,1540.86
"2021 Mar 05, Friday",48908.09,1534.82
"2021 Mar 06, Saturday",48986.85,1654.99
"2021 Mar 07, Sunday",50858.34,1730.49
"2021 Mar 08, Monday",52472.59,1839.01
"2021 Mar 09, Tuesday",54999.99,1876.53
"2021 Mar 10, Wednesday",56046.27,1795.8
"2021 Mar 11, Thursday",57911.02,1831.75
"2021 Mar 12, Friday",57174.89,1765.73
"2021 Mar 13, Saturday",61130.22,1918.57
"2021 Mar 14, Sunday",59192.98,1855.27
"2021 Mar 15, Monday",55430.19,1791.69
"2021 Mar 16, Tuesday",57126.52,1812.0
"2021 Mar 17, Wednesday",59221.23,1829.11
"2021 Mar 18, Thursday",57562.46,1774.05
"2021 Mar 19, Friday",58001.29,1808.86
"2021 Mar 20, Saturday",58051.01,1801.16
"2021 Mar 21, Sunday",57402.03,1786.96
"2021 Mar 22, Monday",54230.21,1683.33
"2021 Mar 23, Tuesday",54268.81,1665.5
"2021 Mar 24, Wednesday",52294.65,1580.49
"2021 Mar 25, Thursday",51386.2,1590.44
"2021 Mar 26, Friday",55314.11,1708.04
"2021 Mar 27, Saturday",55932.18,1716.62
